"AD_Org_ID[Name]","ZZMigrationCode/K","IsActive","ZZGrantName","ZZGrantDescription","ZZGrantPercentage","ZZPayable","ZZMinimumAmount","ZZMigrateValues"
*,279,Y,OHS PROGRAMME,OHS,100.00,Y,0.00,ZZLkpGrantCode:ZZLkpGrantCode_ID:18;C_Year:C_Year_ID:21
*,280,Y,UIF LEARNERSHIPS,UIF,100.00,Y,0.00,ZZLkpGrantCode:ZZLkpGrantCode_ID:19;C_Year:C_Year_ID:21
*,281,Y,EMPLOYED ARTISAN,ART,100.00,Y,0.00,ZZLkpGrantCode:ZZLkpGrantCode_ID:20;C_Year:C_Year_ID:21
*,282,Y,UNEMPLOYED ARTISAN,UART,100.00,Y,0.00,ZZLkpGrantCode:ZZLkpGrantCode_ID:21;C_Year:C_Year_ID:21
*,283,Y,ARTISAN AIDES,ARTA,100.00,Y,0.00,ZZLkpGrantCode:ZZLkpGrantCode_ID:22;C_Year:C_Year_ID:21
*,284,Y,ABET Module Based,ABTM,100.00,Y,0.00,ZZLkpGrantCode:ZZLkpGrantCode_ID:23;C_Year:C_Year_ID:21
*,285,Y,Jewellery Beneficiation Learnership,MBL,100.00,Y,0.00,ZZLkpGrantCode:ZZLkpGrantCode_ID:26;C_Year:C_Year_ID:21
*,286,Y,Jewellery Beneficiation Skills Programs,MBSA,100.00,Y,0.00,ZZLkpGrantCode:ZZLkpGrantCode_ID:27;C_Year:C_Year_ID:21
*,287,Y,RPL Learnerships,RPL,100.00,Y,0.00,ZZLkpGrantCode:ZZLkpGrantCode_ID:28;C_Year:C_Year_ID:21
*,288,Y,GETC NQF1 5827,ABTG,100.00,Y,0.00,ZZLkpGrantCode:ZZLkpGrantCode_ID:29;C_Year:C_Year_ID:21
*,289,Y,FLC,FLC,100.00,Y,0.00,ZZLkpGrantCode:ZZLkpGrantCode_ID:31;C_Year:C_Year_ID:21
*,290,Y,NAC,NAC,100.00,Y,0.00,ZZLkpGrantCode:ZZLkpGrantCode_ID:32;C_Year:C_Year_ID:21
*,291,Y,NOC,NOC,100.00,Y,0.00,ZZLkpGrantCode:ZZLkpGrantCode_ID:33;C_Year:C_Year_ID:21
*,292,Y,Vacation Work,VAC,100.00,Y,0.00,ZZLkpGrantCode:ZZLkpGrantCode_ID:34;C_Year:C_Year_ID:21
*,293,Y,Practical Training (1 & 2),PTL,100.00,Y,0.00,ZZLkpGrantCode:ZZLkpGrantCode_ID:35;C_Year:C_Year_ID:21
*,294,Y,Practical Training 3,PTL3,100.00,Y,0.00,ZZLkpGrantCode:ZZLkpGrantCode_ID:36;C_Year:C_Year_ID:21
*,295,Y,TVET N6,TVET,100.00,Y,0.00,ZZLkpGrantCode:ZZLkpGrantCode_ID:37;C_Year:C_Year_ID:21
*,296,Y,MANDATORY GRANTS,MAN,30.00,Y,0.00,ZZLkpGrantCode:ZZLkpGrantCode_ID:1;C_Year:C_Year_ID:22
*,297,Y,LEARNERSHIPS,"",100.00,Y,0.00,ZZLkpGrantCode:ZZLkpGrantCode_ID:2;C_Year:C_Year_ID:22
*,298,Y,ABET,"",100.00,Y,0.00,ZZLkpGrantCode:ZZLkpGrantCode_ID:4;C_Year:C_Year_ID:22
*,299,Y,GDP NSF,NSF,100.00,Y,0.00,ZZLkpGrantCode:ZZLkpGrantCode_ID:5;C_Year:C_Year_ID:22
*,300,Y,GDP 1,GDP1,100.00,Y,0.00,ZZLkpGrantCode:ZZLkpGrantCode_ID:6;C_Year:C_Year_ID:22
*,301,Y,PRACTICAL TRAINING,"",100.00,Y,0.00,ZZLkpGrantCode:ZZLkpGrantCode_ID:7;C_Year:C_Year_ID:22
*,302,Y,MODERATOR ,MOD,100.00,Y,0.00,ZZLkpGrantCode:ZZLkpGrantCode_ID:8;C_Year:C_Year_ID:22
*,303,Y,ASSESSOR ,ASS,100.00,Y,0.00,ZZLkpGrantCode:ZZLkpGrantCode_ID:9;C_Year:C_Year_ID:22
*,304,Y,Artisan Grant,APP,100.00,Y,0.00,ZZLkpGrantCode:ZZLkpGrantCode_ID:10;C_Year:C_Year_ID:22
*,305,Y,PRACTICAL TRAINING 02,"",100.00,Y,0.00,ZZLkpGrantCode:ZZLkpGrantCode_ID:11;C_Year:C_Year_ID:22
*,306,Y,GDP 2,GDP 2,100.00,Y,0.00,ZZLkpGrantCode:ZZLkpGrantCode_ID:13;C_Year:C_Year_ID:22
*,307,Y,LEARNERSHIPS NSF 2,NSL2,100.00,Y,0.00,ZZLkpGrantCode:ZZLkpGrantCode_ID:15;C_Year:C_Year_ID:22
