"AD_Org_ID[Name]","ZZModuleCode","ZZModuleTitle","ZZQualityAssuranceBody","ZZCredits","Registrationstartdate","Registrationenddate","ZZLastEnrolmentDate","ZZLastAchievementDate","IsActive","ZZMigrationCode/K",_LOG_
*,OUT1493.1,Plater/Boilermaker Diamonds Open Cast,,150,2016-01-01 00:00:00.000,2020-12-31 00:00:00.000,2020-12-31 00:00:00.000,1900-01-01 00:00:00.000,Y,3353,"<ZZModule>: Inserted GenericPO[Table=1000262ID=0] / <ZZModule>: Inserted GenericPO[Table=1000262ID=0] / "
*,OUT1593,Fitting and Turning Underground Diamonds,,150,2016-01-01 00:00:00.000,2020-12-31 00:00:00.000,1900-01-01 00:00:00.000,1900-01-01 00:00:00.000,Y,3354,"<ZZModule>: Inserted GenericPO[Table=1000262ID=0] / <ZZModule>: Inserted GenericPO[Table=1000262ID=0] / "
*,OUT1853,Fitting and Turning: Underground Coal,,150,2016-01-01 00:00:00.000,2020-12-31 00:00:00.000,2020-12-31 00:00:00.000,1900-01-01 00:00:00.000,Y,3355,"<ZZModule>: Inserted GenericPO[Table=1000262ID=0] / <ZZModule>: Inserted GenericPO[Table=1000262ID=0] / "
*,OUT1463.2,Fitting and Turning Surface Coal,,150,2016-01-01 00:00:00.000,2020-12-31 00:00:00.000,2020-12-31 00:00:00.000,1900-01-01 00:00:00.000,Y,3356,"<ZZModule>: Inserted GenericPO[Table=1000262ID=0] / <ZZModule>: Inserted GenericPO[Table=1000262ID=0] / "
*,OUT2763,Fitting and Turning Metalliferous,,150,2016-01-01 00:00:00.000,2020-12-31 00:00:00.000,2020-12-31 00:00:00.000,1900-01-01 00:00:00.000,Y,3357,"<ZZModule>: Inserted GenericPO[Table=1000262ID=0] / <ZZModule>: Inserted GenericPO[Table=1000262ID=0] / "
*,OUT1403,Fitting and Turning: Surface Diamonds,,150,2016-12-31 00:00:00.000,2020-12-31 00:00:00.000,2020-12-31 00:00:00.000,1900-01-01 00:00:00.000,Y,3358,"<ZZModule>: Inserted GenericPO[Table=1000262ID=0] / <ZZModule>: Inserted GenericPO[Table=1000262ID=0] / "
*,OUT1463.3,Fitting and Turning Open Cast,,150,2016-01-01 00:00:00.000,2020-12-31 00:00:00.000,2020-12-31 00:00:00.000,1900-01-01 00:00:00.000,Y,3359,"<ZZModule>: Inserted GenericPO[Table=1000262ID=0] / <ZZModule>: Inserted GenericPO[Table=1000262ID=0] / "
*,OUT1273,Fitting (including machining) Underground Daimonds,,150,2016-01-01 00:00:00.000,2020-12-31 00:00:00.000,2020-12-31 00:00:00.000,1900-01-01 00:00:00.000,Y,3360,"<ZZModule>: Inserted GenericPO[Table=1000262ID=0] / <ZZModule>: Inserted GenericPO[Table=1000262ID=0] / "
*,OUT1533,Fitting (including machining) Underground Coal,,150,2016-01-01 00:00:00.000,2020-12-31 00:00:00.000,2020-12-31 00:00:00.000,1900-01-01 00:00:00.000,Y,3361,"<ZZModule>: Inserted GenericPO[Table=1000262ID=0] / <ZZModule>: Inserted GenericPO[Table=1000262ID=0] / "
*,OUT1283,Fitting (including machining) Surface Coal,,150,2016-01-01 00:00:00.000,2020-12-31 00:00:00.000,2020-12-31 00:00:00.000,1900-01-01 00:00:00.000,Y,3362,"<ZZModule>: Inserted GenericPO[Table=1000262ID=0] / <ZZModule>: Inserted GenericPO[Table=1000262ID=0] / "
*,OUT2443,Fitting (including machining) : Metalliferous,,150,2016-01-01 00:00:00.000,2020-12-31 00:00:00.000,2020-12-31 00:00:00.000,1900-01-01 00:00:00.000,Y,3363,"<ZZModule>: Inserted GenericPO[Table=1000262ID=0] / <ZZModule>: Inserted GenericPO[Table=1000262ID=0] / "
*,OUT1203,Fitting (including machining) Surface Diamonds,,150,2016-01-01 00:00:00.000,2020-12-31 00:00:00.000,2020-12-31 00:00:00.000,1900-01-01 00:00:00.000,Y,3364,"<ZZModule>: Inserted GenericPO[Table=1000262ID=0] / <ZZModule>: Inserted GenericPO[Table=1000262ID=0] / "
