"AD_Org_ID[Name]","ZZMigrationCode/K","IsActive","ZZUnitStandardType","ZZMigrateValues"
*,203,Y,Core,ZZSkillsProgramme:ZZSkillsProgramme_ID:16;ZZUnitStandard:ZZUnitStandard_id:746
*,204,Y,Core,ZZSkillsProgramme:ZZSkillsProgramme_ID:16;ZZUnitStandard:ZZUnitStandard_id:744
*,205,Y,Elective,ZZSkillsProgramme:ZZSkillsProgramme_ID:16;ZZUnitStandard:ZZUnitStandard_id:745
*,206,Y,Elective,ZZSkillsProgramme:ZZSkillsProgramme_ID:16;ZZUnitStandard:ZZUnitStandard_id:82
*,207,Y,Core,ZZSkillsProgramme:ZZSkillsProgramme_ID:16;ZZUnitStandard:ZZUnitStandard_id:1299
*,208,Y,Core,ZZSkillsProgramme:ZZSkillsProgramme_ID:16;ZZUnitStandard:ZZUnitStandard_id:1300
*,209,Y,Core,ZZSkillsProgramme:ZZSkillsProgramme_ID:16;ZZUnitStandard:ZZUnitStandard_id:1301
*,210,Y,Elective,ZZSkillsProgramme:ZZSkillsProgramme_ID:16;ZZUnitStandard:ZZUnitStandard_id:542
*,211,Y,Elective,ZZSkillsProgramme:ZZSkillsProgramme_ID:16;ZZUnitStandard:ZZUnitStandard_id:565
*,212,Y,Elective,ZZSkillsProgramme:ZZSkillsProgramme_ID:16;ZZUnitStandard:ZZUnitStandard_id:544
*,213,Y,Elective,ZZSkillsProgramme:ZZSkillsProgramme_ID:16;ZZUnitStandard:ZZUnitStandard_id:580
*,214,Y,Core,ZZSkillsProgramme:ZZSkillsProgramme_ID:16;ZZUnitStandard:ZZUnitStandard_id:543
