AD_Org_ID[Name],Value,Name,ZZNqfLevel,ZZCredits,Registrationstartdate,Registrationenddate,ZZQualityAssuranceBody,ZZSkillsProgrammeType,ZZQualification_ID[Value],ZZAetLevel,ZZLkpOfoOccupation_ID[Value],ZZMinimumElectiveCredits,IsActive
*,49596,National Certificate: Radiation Monitoring,3,120,2007-01-01 00:00:00.000,2010-01-01 00:00:00.000,,2,49596,,,120,Y
*,58267,General Education and Training Certificate: Mining and Minerals Processes,1,120,2018-07-01 00:00:00.000,2024-06-30 00:00:00.000,,2,58267,,,22,Y
*,58722,National Certificate Engineering Fabrication,2,148,2007-01-01 00:00:00.000,2015-06-30 00:00:00.000,,2,60290,,2021-214103,148,Y
*,58720,National Ceritificate Engineering Fabrication,3,138,2007-01-01 00:00:00.000,2015-06-30 00:00:00.000,,2,60291,,2021-214103,138,Y
*,50334,National Certificate in Occupationally Directed Education Training and Develpment Practivrd,5,120,2007-01-01 00:00:00.000,2010-01-01 00:00:00.000,,2,50334,,,120,Y
*,58952,further Education and Training Certificate: Laboratory Analysis,4,140,2007-01-01 00:00:00.000,2015-06-30 00:00:00.000,,2,58952,,2021-134902,140,Y
*,59851,National Certificate: Diamond Processing,3,150,2007-01-01 00:00:00.000,2015-06-30 00:00:00.000,,2,59851,,2021-661302,82,Y
*,59549,National Certificate: Strata Control Operations,2,123,2007-01-01 00:00:00.000,2015-06-30 00:00:00.000,,2,59549,,2021-132203,123,Y
*,60369,National Certificate Strata Contol operations,3,136,2007-01-01 00:00:00.000,2015-06-30 00:00:00.000,,2,60369,,2021-132203,136,Y
*,59689,National Certificate: Mechanical Engineering ,2,130,2007-01-01 00:00:00.000,2015-06-30 00:00:00.000,,2,63477,,2021-652302,130,Y
*,59669,National Certificate: Mechanical Engineering: Fitting,3,120,2007-01-01 00:00:00.000,2015-06-30 00:00:00.000,,2,63471,,2021-652302,120,Y
*,59709,FETC: Mechanical Engineering : Fitting,4,120,2007-01-01 00:00:00.000,2015-06-30 00:00:00.000,,2,63481,,2021-652302,120,Y
*,60349,National Certificate: Mining Technical Support,2,125,2007-01-01 00:00:00.000,2015-06-30 00:00:00.000,,2,60349,,2021-351302,125,Y
*,NVC 012 ,New venture creation ,,0,2008-10-01 00:00:00.000,2008-10-31 00:00:00.000,,1,,,,7,Y
*,16/MQA/SP/0058,Blasting Assistant FOR Underground Hardrock (Version 1),,30,2007-06-14 00:00:00.000,2010-06-14 00:00:00.000,,1,,,,22,Y
*,16/MQA/SP/0058,Blasting Assistant FOR Underground Hardrock (Version 3),,28,2007-08-20 00:00:00.000,2010-08-20 00:00:00.000,,1,,,,23,Y
*,16/MQA/SP/0058/,Blasting Assistant FOR Underground Hardrock (Version 3 B) LATEST,,22,2007-08-21 00:00:00.000,2010-08-21 00:00:00.000,,1,,,,2,Y
*,16/SP/029,Blasting Assistant Operations in Underground Coal Mines V2,,0,2005-10-17 00:00:00.000,2008-10-17 00:00:00.000,,1,,,,37,Y
*,Fall A MnC ContM,Skills Programme: Competent Person A: To examine and declare a working place safe (Underground Coal Continuous Mining) (Inactive),,120,2018-07-01 00:00:00.000,2020-09-25 00:00:00.000,,1,,,2021-711101,96,Y
*,Fall A MnC ConvM,Skills Programme: Competent Person A: To examine and declare a working place safe for the purpose of regulation 1.1 (Underground Coal Conventional Mining),,43,2018-07-01 00:00:00.000,2020-09-25 00:00:00.000,,1,,,,23,Y
*,Fall A MnC LM,Skills Programme: Fall of Ground Regulations: Competent Person A: To examine and declare a working place safe for the purpose of regulation 1.1 (Underground Coal Longwall Mining),,0,2018-07-01 00:00:00.000,2020-09-25 00:00:00.000,,1,,,2021-711101,0,Y
*,Fall A MnH M,Skills Programme: Fall of Ground Regulations: Competent Person A: To examine and declare a working place safe for the purpose of regulation 1.1(Underground Hard Rock Massive),,42,2007-01-01 00:00:00.000,2010-01-01 00:00:00.000,,1,,,,18,Y
*,Fall A MnH NT,Skills Programme: Fall of Ground Regulations: Competent Person A: To examine and declare a working place safe for the purpose of regulation 1.1 (Underground Hard Rock Narrow Tabular),,50,2007-01-01 00:00:00.000,2010-01-01 00:00:00.000,,1,,,,23,Y
