ID,Description,Code,ProvinceID,DateCreated,CreatedBy,DateUpdated,UpdatedBy,IsDeleted
216,Aj Ferreira Sekondêre Skool,300041401,0,2017-10-10 16:29:51.103,1,2017-10-10 16:29:51.103,1,0
217,Aj Jacobs,445503100,0,2017-10-10 16:29:51.103,1,2017-10-10 16:29:51.103,1,0
218,Aj Jacobs P/S,443611252,0,2017-10-10 16:29:51.103,1,2017-10-10 16:29:51.103,1,0
219,Aj Mwelase S,500100085,0,2017-10-10 16:29:51.103,1,2017-10-10 16:29:51.103,1,0
220,Ajc Jooste C/S,443104215,0,2017-10-10 16:29:51.103,1,2017-10-10 16:29:51.103,1,0
221,Ak Mokoena Pre-Primary School,800034989,0,2017-10-10 16:29:51.103,1,2017-10-10 16:29:51.103,1,0
222,Akademia S/S,440704214,0,2017-10-10 16:29:51.103,1,2017-10-10 16:29:51.103,1,0
223,Akademie Reformia,904225655,0,2017-10-10 16:29:51.103,1,2017-10-10 16:29:51.103,1,0
224,Akademie Vir Cvo Derby,600100016,0,2017-10-10 16:29:51.103,1,2017-10-10 16:29:51.103,1,0
225,Akademie Warmbad,991104501,0,2017-10-10 16:29:51.103,1,2017-10-10 16:29:51.103,1,0
226,Akanani Creche,973306333,0,2017-10-10 16:29:51.103,1,2017-10-10 16:29:51.103,1,0
227,Akanani Junior Primary,915531306,0,2017-10-10 16:29:51.103,1,2017-10-10 16:29:51.103,1,0
228,Akanani Pre-Primary,930321684,0,2017-10-10 16:29:51.103,1,2017-10-10 16:29:51.103,1,0
229,Akanani Pre-Primary School,800035395,0,2017-10-10 16:29:51.103,1,2017-10-10 16:29:51.103,1,0
230,Akani High,912520016,0,2017-10-10 16:29:51.103,1,2017-10-10 16:29:51.103,1,0
231,Akani Metmar School,700400646,0,2017-10-10 16:29:51.103,1,2017-10-10 16:29:51.103,1,0
232,Akani Mphambo Creche,973301407,0,2017-10-10 16:29:51.103,1,2017-10-10 16:29:51.103,1,0
233,Akanyang,300100017,0,2017-10-10 16:29:51.103,1,2017-10-10 16:29:51.103,1,0
234,Akanyang,700340398,0,2017-10-10 16:29:51.103,1,2017-10-10 16:29:51.103,1,0
235,Akanyetsang Bana Elc,600120041,0,2017-10-10 16:29:51.103,1,2017-10-10 16:29:51.103,1,0
236,Akasiapark Ls.,102006062,0,2017-10-10 16:29:51.103,1,2017-10-10 16:29:51.103,1,0
237,Akker Jakker,445503138,0,2017-10-10 16:29:51.103,1,2017-10-10 16:29:51.103,1,0
238,Akkerboom Prim.,117337862,0,2017-10-10 16:29:51.103,1,2017-10-10 16:29:51.103,1,0
239,Akkertjie Preprim.,118008384,0,2017-10-10 16:29:51.103,1,2017-10-10 16:29:51.103,1,0
240,Akofang,445202923,0,2017-10-10 16:29:51.103,1,2017-10-10 16:29:51.103,1,0
241,Akofang,600100018,0,2017-10-10 16:29:51.103,1,2017-10-10 16:29:51.103,1,0
242,Akofang I/S,445109039,0,2017-10-10 16:29:51.103,1,2017-10-10 16:29:51.103,1,0
243,Al Aqsa Nursery And Pre School,700700430,0,2017-10-10 16:29:51.103,1,2017-10-10 16:29:51.103,1,0
244,Al Aqsa School  Ext One,700400027,0,2017-10-10 16:29:51.103,1,2017-10-10 16:29:51.103,1,0
245,Al Ghazali Independent Secondary,700400125,0,2017-10-10 16:29:51.103,1,2017-10-10 16:29:51.103,1,0
246,Al Huda Private School,600104089,0,2017-10-10 16:29:51.103,1,2017-10-10 16:29:51.103,1,0
247,Al Izzah,102007373,0,2017-10-10 16:29:51.103,1,2017-10-10 16:29:51.103,1,0
248,Al- Falaah College Durban,500187368,0,2017-10-10 16:29:51.103,1,2017-10-10 16:29:51.103,1,0
249,Al-Aqsa Extension 10 School,700400028,0,2017-10-10 16:29:51.103,1,2017-10-10 16:29:51.103,1,0
